title,start_year,runtime_minutes,genres,id,release_date,production_budget,domestic_gross,worldwide_gross
#Horror,2015,101.0,Crime,16,"Nov 20, 2015","$1,500,000",0.0,0.0
#Horror,2015,101.0,Drama,16,"Nov 20, 2015","$1,500,000",0.0,0.0
#Horror,2015,101.0,Horror,16,"Nov 20, 2015","$1,500,000",0.0,0.0
10 Cloverfield Lane,2016,103.0,Drama,54,"Mar 11, 2016","$5,000,000",72082999.0,108286422.0
10 Cloverfield Lane,2016,103.0,Horror,54,"Mar 11, 2016","$5,000,000",72082999.0,108286422.0
10 Cloverfield Lane,2016,103.0,Mystery,54,"Mar 11, 2016","$5,000,000",72082999.0,108286422.0
10 Days in a Madhouse,2015,111.0,Drama,48,"Nov 11, 2015","$12,000,000",14616.0,14616.0
12 Strong,2018,130.0,Action,64,"Jan 19, 2018","$35,000,000",45819713.0,71118378.0
12 Strong,2018,130.0,Drama,64,"Jan 19, 2018","$35,000,000",45819713.0,71118378.0
12 Strong,2018,130.0,History,64,"Jan 19, 2018","$35,000,000",45819713.0,71118378.0
12 Years a Slave,2013,134.0,Biography,18,"Oct 18, 2013","$20,000,000",56671993.0,181025343.0
12 Years a Slave,2013,134.0,Drama,18,"Oct 18, 2013","$20,000,000",56671993.0,181025343.0
12 Years a Slave,2013,134.0,History,18,"Oct 18, 2013","$20,000,000",56671993.0,181025343.0
127 Hours,2010,94.0,Adventure,6,"Nov 5, 2010","$18,000,000",18335230.0,60217171.0
127 Hours,2010,94.0,Biography,6,"Nov 5, 2010","$18,000,000",18335230.0,60217171.0
127 Hours,2010,94.0,Drama,6,"Nov 5, 2010","$18,000,000",18335230.0,60217171.0
13 Sins,2014,93.0,Horror,51,"Apr 18, 2014","$4,000,000",9134.0,47552.0
13 Sins,2014,93.0,Thriller,51,"Apr 18, 2014","$4,000,000",9134.0,47552.0
1982,2013,90.0,Drama,23,"Mar 1, 2016","$1,000,000",0.0,0.0
1982,2015,11.0,Documentary,23,"Mar 1, 2016","$1,000,000",0.0,0.0
2 Guns,2013,109.0,Action,39,"Aug 2, 2013","$61,000,000",75612460.0,132493015.0
2 Guns,2013,109.0,Comedy,39,"Aug 2, 2013","$61,000,000",75612460.0,132493015.0
2 Guns,2013,109.0,Crime,39,"Aug 2, 2013","$61,000,000",75612460.0,132493015.0
21,2016,98.0,Horror,39,"Mar 28, 2008","$35,000,000",81159365.0,159846429.0
21 Jump Street,2012,109.0,Action,44,"Mar 16, 2012","$42,000,000",138447667.0,202812429.0
21 Jump Street,2012,109.0,Comedy,44,"Mar 16, 2012","$42,000,000",138447667.0,202812429.0
21 Jump Street,2012,109.0,Crime,44,"Mar 16, 2012","$42,000,000",138447667.0,202812429.0
22 Jump Street,2014,112.0,Action,85,"Jun 13, 2014","$50,000,000",191719337.0,331333876.0
22 Jump Street,2014,112.0,Comedy,85,"Jun 13, 2014","$50,000,000",191719337.0,331333876.0
22 Jump Street,2014,112.0,Crime,85,"Jun 13, 2014","$50,000,000",191719337.0,331333876.0
23 Blast,2014,98.0,Drama,64,"Oct 24, 2014","$1,000,000",549185.0,549185.0
23 Blast,2014,98.0,Family,64,"Oct 24, 2014","$1,000,000",549185.0,549185.0
23 Blast,2014,98.0,Sport,64,"Oct 24, 2014","$1,000,000",549185.0,549185.0
3,2010,119.0,Comedy,85,"Sep 16, 2011","$7,200,000",59774.0,295492.0
3,2010,119.0,Drama,85,"Sep 16, 2011","$7,200,000",59774.0,295492.0
3,2010,119.0,Romance,85,"Sep 16, 2011","$7,200,000",59774.0,295492.0
3,2012,145.0,Drama,85,"Sep 16, 2011","$7,200,000",59774.0,295492.0
3,2012,145.0,Mystery,85,"Sep 16, 2011","$7,200,000",59774.0,295492.0
3,2012,145.0,Romance,85,"Sep 16, 2011","$7,200,000",59774.0,295492.0
3,2012,115.0,Comedy,85,"Sep 16, 2011","$7,200,000",59774.0,295492.0
3,2012,115.0,Drama,85,"Sep 16, 2011","$7,200,000",59774.0,295492.0
3,2018,80.0,Horror,85,"Sep 16, 2011","$7,200,000",59774.0,295492.0
3,2018,80.0,Mystery,85,"Sep 16, 2011","$7,200,000",59774.0,295492.0
3,2018,80.0,Thriller,85,"Sep 16, 2011","$7,200,000",59774.0,295492.0
3,2015,57.0,Drama,85,"Sep 16, 2011","$7,200,000",59774.0,295492.0
3,2018,17.0,Documentary,85,"Sep 16, 2011","$7,200,000",59774.0,295492.0
3 Backyards,2010,88.0,Drama,51,"Mar 11, 2011","$300,000",39475.0,39475.0
3 Days to Kill,2014,117.0,Action,64,"Feb 21, 2014","$28,000,000",30697999.0,38959900.0
3 Days to Kill,2014,117.0,Drama,64,"Feb 21, 2014","$28,000,000",30697999.0,38959900.0
3 Days to Kill,2014,117.0,Thriller,64,"Feb 21, 2014","$28,000,000",30697999.0,38959900.0
30 Minutes or Less,2011,83.0,Action,60,"Aug 12, 2011","$28,000,000",37053924.0,40966716.0
30 Minutes or Less,2011,83.0,Comedy,60,"Aug 12, 2011","$28,000,000",37053924.0,40966716.0
30 Minutes or Less,2011,83.0,Crime,60,"Aug 12, 2011","$28,000,000",37053924.0,40966716.0
300: Rise of an Empire,2014,102.0,Action,26,"Mar 7, 2014","$110,000,000",106580051.0,330780051.0
300: Rise of an Empire,2014,102.0,Fantasy,26,"Mar 7, 2014","$110,000,000",106580051.0,330780051.0
300: Rise of an Empire,2014,102.0,War,26,"Mar 7, 2014","$110,000,000",106580051.0,330780051.0
31,2016,102.0,Horror,85,"Oct 21, 2016","$1,500,000",779820.0,922727.0
31,2016,102.0,Thriller,85,"Oct 21, 2016","$1,500,000",779820.0,922727.0
40 Weeks,2014,111.0,Documentary,45,"Dec 31, 2014","$900,000",0.0,0.0
42,2013,128.0,Biography,22,"Apr 12, 2013","$31,000,000",95020213.0,97470701.0
42,2013,128.0,Drama,22,"Apr 12, 2013","$31,000,000",95020213.0,97470701.0
42,2013,128.0,Sport,22,"Apr 12, 2013","$31,000,000",95020213.0,97470701.0
47 Ronin,2013,128.0,Action,12,"Dec 25, 2013","$175,000,000",38362475.0,151716815.0
47 Ronin,2013,128.0,Adventure,12,"Dec 25, 2013","$175,000,000",38362475.0,151716815.0
47 Ronin,2013,128.0,Drama,12,"Dec 25, 2013","$175,000,000",38362475.0,151716815.0
5 Days of War,2011,113.0,Action,47,"Aug 19, 2011","$12,000,000",17479.0,87793.0
5 Days of War,2011,113.0,Drama,47,"Aug 19, 2011","$12,000,000",17479.0,87793.0
5 Days of War,2011,113.0,War,47,"Aug 19, 2011","$12,000,000",17479.0,87793.0
